Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
72,17,9,27,0,Some Random Commen with Id 72
73,17,9,26,3,Some Random Commen with Id 73
74,17,9,178,5,Some Random Commen with Id 74
75,17,9,195,2,Some Random Commen with Id 75
76,18,9,62,9,Some Random Commen with Id 76
77,18,9,141,9,Some Random Commen with Id 77
78,18,9,131,4,Some Random Commen with Id 78
79,18,9,75,2,Some Random Commen with Id 79
80,18,9,20,1,Some Random Commen with Id 80
81,18,9,128,0,Some Random Commen with Id 81
82,18,9,69,7,Some Random Commen with Id 82
83,18,9,45,3,Some Random Commen with Id 83
84,19,7,132,3,Some Random Commen with Id 84
85,19,7,157,4,Some Random Commen with Id 85
86,19,7,70,5,Some Random Commen with Id 86
87,19,7,173,3,Some Random Commen with Id 87
88,19,7,139,5,Some Random Commen with Id 88
89,19,7,13,0,Some Random Commen with Id 89
90,19,7,154,4,Some Random Commen with Id 90
91,19,7,179,2,Some Random Commen with Id 91
92,19,7,73,2,Some Random Commen with Id 92
93,20,3,46,1,Some Random Commen with Id 93
94,20,3,100,3,Some Random Commen with Id 94
95,20,3,171,1,Some Random Commen with Id 95
96,20,3,160,6,Some Random Commen with Id 96
97,21,2,47,2,Some Random Commen with Id 97
98,21,2,11,8,Some Random Commen with Id 98
99,21,2,118,7,Some Random Commen with Id 99
100,21,2,146,7,Some Random Commen with Id 100
101,21,2,123,7,Some Random Commen with Id 101
102,21,2,185,4,Some Random Commen with Id 102
103,21,2,10,4,Some Random Commen with Id 103
104,21,2,55,5,Some Random Commen with Id 104
105,21,2,107,0,Some Random Commen with Id 105
106,22,1,111,6,Some Random Commen with Id 106
107,22,1,180,2,Some Random Commen with Id 107
108,22,1,128,3,Some Random Commen with Id 108
109,22,1,102,8,Some Random Commen with Id 109
110,22,1,104,5,Some Random Commen with Id 110
111,22,1,72,1,Some Random Commen with Id 111
112,22,1,178,4,Some Random Commen with Id 112
113,22,1,66,1,Some Random Commen with Id 113
114,22,1,53,1,Some Random Commen with Id 114
115,23,5,71,8,Some Random Commen with Id 115
116,24,9,78,3,Some Random Commen with Id 116
117,25,4,66,1,Some Random Commen with Id 117
118,25,4,63,9,Some Random Commen with Id 118
119,25,4,102,3,Some Random Commen with Id 119
120,25,4,1,3,Some Random Commen with Id 120
121,25,4,173,6,Some Random Commen with Id 121
122,25,4,19,8,Some Random Commen with Id 122
123,25,4,121,2,Some Random Commen with Id 123
124,25,4,39,8,Some Random Commen with Id 124
125,25,4,166,2,Some Random Commen with Id 125
126,26,2,45,9,Some Random Commen with Id 126
127,26,2,149,6,Some Random Commen with Id 127
128,26,2,133,2,Some Random Commen with Id 128
129,27,1,173,5,Some Random Commen with Id 129
130,27,1,31,8,Some Random Commen with Id 130
131,27,1,92,4,Some Random Commen with Id 131
132,27,1,42,2,Some Random Commen with Id 132
133,27,1,152,4,Some Random Commen with Id 133
134,27,1,153,6,Some Random Commen with Id 134
135,27,1,173,8,Some Random Commen with Id 135
136,28,2,190,3,Some Random Commen with Id 136
137,28,2,146,7,Some Random Commen with Id 137
138,28,2,31,1,Some Random Commen with Id 138
139,28,2,40,3,Some Random Commen with Id 139
140,28,2,83,5,Some Random Commen with Id 140
141,28,2,12,3,Some Random Commen with Id 141
142,31,3,129,8,Some Random Commen with Id 142
143,31,3,165,7,Some Random Commen with Id 143
144,31,3,7,1,Some Random Commen with Id 144
145,31,3,146,1,Some Random Commen with Id 145
146,31,3,199,4,Some Random Commen with Id 146
147,31,3,38,2,Some Random Commen with Id 147
148,32,2,43,6,Some Random Commen with Id 148
149,32,2,109,6,Some Random Commen with Id 149
150,32,2,121,3,Some Random Commen with Id 150
151,32,2,95,6,Some Random Commen with Id 151
152,32,2,163,9,Some Random Commen with Id 152
153,33,3,7,1,Some Random Commen with Id 153
154,33,3,102,8,Some Random Commen with Id 154
155,34,9,37,0,Some Random Commen with Id 155
156,34,9,25,2,Some Random Commen with Id 156
157,34,9,82,3,Some Random Commen with Id 157
158,34,9,80,8,Some Random Commen with Id 158
159,34,9,136,1,Some Random Commen with Id 159
160,35,8,127,9,Some Random Commen with Id 160
161,35,8,78,3,Some Random Commen with Id 161
162,35,8,147,1,Some Random Commen with Id 162
163,35,8,185,7,Some Random Commen with Id 163
164,35,8,31,8,Some Random Commen with Id 164
165,35,8,23,8,Some Random Commen with Id 165
166,35,8,71,5,Some Random Commen with Id 166
167,35,8,163,3,Some Random Commen with Id 167
168,36,1,159,2,Some Random Commen with Id 168
169,36,1,167,1,Some Random Commen with Id 169
170,36,1,100,6,Some Random Commen with Id 170
171,36,1,71,1,Some Random Commen with Id 171
172,36,1,141,8,Some Random Commen with Id 172
173,36,1,192,7,Some Random Commen with Id 173
174,36,1,23,2,Some Random Commen with Id 174
175,37,0,48,3,Some Random Commen with Id 175
176,37,0,145,8,Some Random Commen with Id 176
177,37,0,41,2,Some Random Commen with Id 177
178,38,3,78,8,Some Random Commen with Id 178
179,38,3,28,4,Some Random Commen with Id 179
180,38,3,154,5,Some Random Commen with Id 180
181,38,3,85,4,Some Random Commen with Id 181
182,38,3,159,7,Some Random Commen with Id 182
183,38,3,99,8,Some Random Commen with Id 183
184,39,3,195,2,Some Random Commen with Id 184
185,39,3,150,3,Some Random Commen with Id 185
186,39,3,155,3,Some Random Commen with Id 186
187,39,3,64,7,Some Random Commen with Id 187
188,39,3,4,8,Some Random Commen with Id 188
